Name,Stars,Review
Nessma Mahmoud,1,السوشي مكنش طازة كأنه بايت وطعمه مكنش حلو والواحد مش دافع فلوس قليله عشان ياخد الكواليتي دي. ٠
Aicha,1,"The sushi was not fresh, the salad mix was not compliant (no lettuce, no avocado, no cherry tomatoes...) and they were wrong in the order. They didn’t answer my calls. I advise against it!"
Amira Mohamed Ismail,1,nodellls was so bad
Sahar Hashem,1,The order took almost 2 hours to arrive and it was missing 4 pieces. The food quality was horrible. It’s not my first time ordering from Ana sushi but this time was the worst ever.
Hasnaa Hasan,1,الاوردر موصلش
Hisham M,3,taste is good but how come combo 30 be with only 1 soy sauce. other sauce feels like eating honey not soy sauce
Yasmin Reda,5,
Toka Mhamed,1,انا باكل من اما فالمطعم والاكل بيكون حلو لكن دي رابع مرة اطلب اونلاين وفعلا بيكون سيء معرفش ليه بيفرقو فالكوالتي بتاعت الاكل وهو فالمطعم والاكل وهو طالع دليفري بجد مستحيل اكل من عندهم تاني لا فالمطلعم ولا حتى اني اطلب
aly,1,Worst order
Khaled Fadel,1,I ordered it at 10 pm and it arrived at 1 am and finally the quality is below average
Marwa Ismail,4,"came very late and food wasn't that good, glass noodles was the only good thing"
Mo,3,Small seafood portions
jana,5,Great
Mohamed Elakkad,3,The fried rolls came very bad
Menna Ragab,1,I didnt receive the added ginger although i paid for it
ammar yasser,1,الاوردر معجن كله ريحة زفارة و مفيش طعم لاي حاجة الافوكادو ناشف و مر الاوردر اترمي و متاكلش
Sara A. Daniel,1,زفر اوى ومش فريش
رآآآآآنا,2,القطعه كبيره والأرز كتير والحشو قليل
Habeba,1,THE ORDER DIDNT EVEN ARRIVE
Hegazi,5,👍👍
Sandy Elbaz,3,مش فريش و السلمون مش حلو
Zeyad,1,Sauces were all over the bag
Aya Mahmoud,5,very good
zeinab,5,الدليفيري راح يفك مارجعش و اخد باقي الفلوس
Mayada,1,بشسشع
Ahmed,1,ال القطع صغيره اوي مش زي الي في الصوره و خساره فيه الفلوس
